Designator,Footprint,Quantity,Value,LCSC Part #
AE1,ANT-SMD_L3.2-W1.6,1,2450AT18A100E,C89334
"C1, C2, C6, C9",0402,4,10pF,
C16,0603,1,1uF,
C17,0402,1,4.7uF,
"C18, C20, C23",0603,3,10uF,
C19,0402,1,47nF,
C21,0603,1,22uF,C361061
C22,0805,1,47uF,C471380
"C24, C28, C31",0603,3,4.7uF,
"C25, C26, C27, C29, C3, C30, C32, C34, C35",0402,9,100nF,
"C33, C36",0402,2,1uF,
"CN1, CN5, CN6",TestPoint_Pad_D2.0mm,3,YZ00615050R-08,C7429459
"CN2, CN3, CN4, CN7, CN8, CN9",TESTPOINT-SMD_BD2.0-H5.0,6,YZ00615050R-08,C7429459
L1,0603,1,10uH,
L2,0603,1,10nH,
"R1, R2",0402,2,5.1K,
R10,0402,1,91K,
"R11, R8",0402,2,4.7K,
"R12, R13, R14",0402,3,100R,C25082
R4,0402,1,260R,C25082
R5,0402,1,5.23K,C25082
R6,0402,1,30.1K,C25082
R7,0402,1,10K,C25082
R9,0402,1,511K,
TP4,TestPoint_Pad_2.0x2.0mm,1,BATP,
TP5,TestPoint_Pad_2.0x2.0mm,1,BATN,
U10,USON-8_L3.0-W2.0-P0.50-BL-EP,1,W25Q16JVUXIQ,C2843335
U11,QFN-68-1EP_8x8mm_P0.4mm_EP6.4x6.4mm,1,STM32WB55RGVx,C401505
U12,CSPG-6_L1.6-W1.0-P0.50-TL_MLPF-WB-04D3,1,MLPF-WB-04D3,C22378853
"U13, U15, U4, U5, U6, U7",CONN-SMD_YZ13515055F-02025-02,6,YZ13515055F-02025-02,C5296817
U14,LED-SMD_4P-L1.6-W0.8-BL,1,XL-1608RGBC,C5349936
U16,IND-SMD_L2.5-W2.0-B,1,XRTC252012S2R2MBCA,C22471111
U17,LED0402-FD_YELLOW,1,SZYY0402Y_C434450,C434450
U18,SOT-583-8_L2.1-W1.2-P0.50-LS1.6-BL,1,TPS631000DRLR,C5219190
"U19, U20",SMD_2P_YZ37215050R-02025-05,2,YZ37215050R-02025-05,C5280836
U2,Texas_DRT-3,1,TPD2EUSB30,
U3,CRYSTAL-SMD_L2.0-W1.2,1,NX2012SA-32.768KHZ-STD-MUB-2,C891748
U8,Texas_RTW_WQFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm_ThermalVias,1,BQ25895RTW,
U9,L1008,1,DFE252012P-1R0M=P2,C882955
USB1,USB-C-SMD_TYPE-C-6PIN-2MD-073,1,TYPE-C 16PIN 2MD(073),C2765186
X1,OSC-SMD_4P-L2.0-W1.6-BL,1,NX2016SA-32MHZ-STD-CZS-5,C843260
