Designator,Mid X,Mid Y,Rotation,Layer
AE1,216.5,-74.2,0.0,top
C1,206.85,-76.65,270.0,top
C16,188.3,-86.1,180.0,bottom
C17,190.3125,-81.925,90.0,bottom
C18,184.4,-79.0,0.0,bottom
C19,189.3625,-81.925,270.0,bottom
C2,206.25,-73.95,225.0,top
C20,189.4,-77.3,180.0,bottom
C21,188.6,-77.25,270.0,top
C22,194.0,-77.55,270.0,top
C23,187.0,-78.3,90.0,bottom
C24,204.875,-77.35,180.0,top
C25,213.525,-77.95,0.0,top
C26,204.775,-79.05,270.0,top
C27,210.975,-88.5,0.0,top
C28,202.625,-80.2,270.0,top
C29,203.825,-79.05,270.0,top
C3,217.65,-82.15,0.0,bottom
C30,208.645,-88.5,180.0,top
C31,208.975,-89.7,180.0,top
C32,210.85,-74.15,90.0,top
C33,210.45,-75.55,180.0,top
C34,214.75,-85.05,270.0,top
C35,204.75,-85.15,270.0,top
C36,215.75,-85.25,270.0,top
C6,212.05,-89.65,180.0,top
C9,215.05,-88.15,225.0,top
CN2,195.2,-74.4,0.0,top
CN3,195.2,-89.8,0.0,top
CN4,179.8,-89.8,0.0,top
CN7,201.95,-74.45,0.0,bottom
CN8,202.05,-89.85,0.0,bottom
CN9,217.45,-89.85,0.0,bottom
L1,204.875,-75.85,0.0,top
L2,202.625,-77.2,90.0,top
R1,185.6,-84.8,180.0,top
R10,190.9,-78.55,0.0,top
R11,201.25,-81.75,90.0,top
R12,207.6,-88.35,0.0,bottom
R13,207.9,-86.65,270.0,bottom
R14,210.65,-89.15,90.0,bottom
R2,189.76,-84.8,0.0,top
R4,182.8,-82.6,270.0,bottom
R5,189.8125,-83.325,180.0,bottom
R6,191.3,-82.8,90.0,bottom
R7,183.1,-80.7,90.0,bottom
R8,214.85,-90.15,270.0,top
R9,192.4,-76.85,90.0,top
U10,216.76,-79.955,90.0,bottom
U11,209.8,-82.125,225.0,top
U12,212.45,-76.25,135.0,top
U13,184.425,-73.8,180.0,bottom
U14,209.35,-88.95,270.0,bottom
U15,190.575,-75.0,0.0,bottom
U16,189.5,-79.5,0.0,bottom
U17,190.56,-84.6,180.0,bottom
U18,190.6,-76.85,180.0,top
U19,195.19,-85.2,90.0,top
U2,188.6,-83.4,0.0,top
U20,179.79,-85.15,90.0,top
U3,213.45,-87.65,45.0,top
U4,195.76077,-79.1,270.0,bottom
U5,180.455008,-79.0,270.0,bottom
U6,179.250008,-85.15,90.0,bottom
U7,194.545,-85.25,90.0,bottom
U8,186.2375,-82.65,90.0,bottom
U9,190.6,-74.35,180.0,top
USB1,187.5,-88.2675,0.0,top
X1,208.15,-74.78383,45.0,top
